filename, language, CSS, JavaScript, XML, comment, blank, total
App.css, CSS, 280, 0, 0, 3, 22, 305
App.js, JavaScript, 0, 148, 0, 2, 14, 164
App.test.js, JavaScript, 0, 8, 0, 0, 2, 10
Components/QuakeList.js, JavaScript, 0, 92, 0, 0, 7, 99
Components/SearchBar.js, JavaScript, 0, 91, 0, 0, 10, 101
Components/UserLocation.js, JavaScript, 0, 47, 0, 0, 4, 51
Images/crosshairs-gps-blue.svg, XML, 0, 0, 1, 0, 0, 1
Images/crosshairs-gps.svg, XML, 0, 0, 1, 0, 0, 1
Tools/Countries.js, JavaScript, 0, 225, 0, 0, 1, 226
Tools/DegreesToRadians.js, JavaScript, 0, 15, 0, 0, 5, 20
Tools/EarthQuakeUrl.js, JavaScript, 0, 18, 0, 1, 5, 24
Tools/magnitudeColors.js, JavaScript, 0, 53, 0, 72, 12, 137
fonts.css, CSS, 336, 0, 0, 51, 0, 387
index.css, CSS, 12, 0, 0, 0, 2, 14
index.js, JavaScript, 0, 7, 0, 3, 3, 13
logo.svg, XML, 0, 0, 7, 0, 1, 8
serviceWorker.js, JavaScript, 0, 92, 0, 31, 13, 136
Total, -, 628, 796, 9, 163, 101, 1697